gender,customer_type,age,type_of_travel,class,flight_distance,inflight_wifi_service,departure/arrival_time_convenient,ease_of_online_booking,food_and_drink,inflight_entertainment,baggage_handling,cleanliness,departure_delay_in_minutes,arrival_delay_in_minutes,satisfaction
Male,Loyal Customer,69,Personal Travel,Business,5421.0,3,2,3,5,1,1,3,14.0,0.0,Dissatisfied
Male,Disloyal Customer,41,Business Travel,Business,337.0,1,1,3,4,4,4,4,0.0,0.0,Neutral
Male,Loyal Customer,52,Business Travel,Business,337.0,2,4,4,1,2,2,4,0.0,6.0,Dissatisfied
Female,Disloyal Customer,21,Business Travel,Business,337.0,4,1,3,4,4,4,4,0.0,0.0,Neutral
Female,Loyal Customer,57,Business Travel,Business,337.0,3,4,4,5,2,3,2,0.0,0.0,Dissatisfied
Female,Loyal Customer,45,Business Travel,Business,337.0,0,1,1,3,3,3,5,0.0,21.0,Satisfied
Female,Loyal Customer,39,Business Travel,Business,56.0,2,5,5,5,2,5,5,0.0,0.0,Satisfied
Female,Loyal Customer,33,Business Travel,Business,56.0,4,5,4,1,4,4,2,0.0,0.0,Satisfied
Female,Loyal Customer,10,Personal Travel,Business,337.0,4,3,3,5,5,4,5,2.0,0.0,Dissatisfied
Male,Loyal Customer,55,Business Travel,Business,67.0,5,5,5,1,5,5,2,10.0,12.0,Satisfied
Male,Loyal Customer,59,Business Travel,Business,67.0,5,5,3,4,4,4,4,0.0,0.0,Neutral
Female,Loyal Customer,53,Business Travel,Business,67.0,3,3,3,4,4,4,4,0.0,0.0,Neutral
Female,Loyal Customer,56,Business Travel,Business,67.0,1,4,4,1,3,1,3,0.0,0.0,Dissatisfied
Male,Loyal Customer,47,Business Travel,Business,67.0,5,5,5,3,4,5,2,0.0,0.0,Satisfied
Female,Loyal Customer,54,Business Travel,Business,67.0,1,5,5,4,4,1,3,36.0,16.0,Dissatisfied
Female,Loyal Customer,57,Business Travel,Business,67.0,0,5,1,5,5,5,2,0.0,0.0,Satisfied
Female,Disloyal Customer,25,Business Travel,Business,67.0,2,4,2,3,3,5,3,0.0,0.0,Unknown
Female,Loyal Customer,51,Business Travel,Business,67.0,3,3,3,2,4,5,4,10.0,0.0,Satisfied
Male,Loyal Customer,47,Business Travel,Business,67.0,5,5,4,2,4,5,4,0.0,0.0,Satisfied
Female,Loyal Customer,60,Business Travel,Business,67.0,4,2,2,5,3,4,3,9.0,6.0,Dissatisfied
Male,Loyal Customer,27,Business Travel,Business,67.0,0,5,1,3,3,1,3,0.0,8.0,Satisfied
Female,Loyal Customer,56,Business Travel,Business,67.0,1,1,1,2,5,4,4,0.0,0.0,Satisfied
Male,Loyal Customer,60,Business Travel,Business,67.0,4,4,4,3,5,4,5,35.0,49.0,Satisfied
Male,Loyal Customer,43,Business Travel,Business,67.0,2,2,3,4,4,4,4,0.0,0.0,Neutral
Female,Loyal Customer,69,Business Travel,Business,67.0,2,2,2,1,3,2,4,7.0,8.0,Dissatisfied
Male,Loyal Customer,54,Business Travel,Business,67.0,4,4,3,4,4,4,4,0.0,0.0,Neutral
Female,Disloyal Customer,25,Business Travel,Business,67.0,1,1,1,3,3,4,3,0.0,0.0,Unknown
Male,Disloyal Customer,20,Business Travel,Business,67.0,2,2,2,4,5,4,4,11.0,36.0,Dissatisfied
Male,Disloyal Customer,19,Business Travel,Business,67.0,0,3,1,4,4,4,4,0.0,0.0,Satisfied
Male,Loyal Customer,63,Personal Travel,Business,67.0,2,5,2,2,3,3,5,61.0,65.0,Dissatisfied
Male,Loyal Customer,50,Business Travel,Business,67.0,4,4,4,2,5,5,5,0.0,0.0,Satisfied
Female,Loyal Customer,39,Business Travel,Business,67.0,4,4,4,3,3,5,3,20.0,10.0,Unknown
Male,Loyal Customer,39,Business Travel,Business,67.0,4,4,4,3,5,5,2,0.0,0.0,Satisfied
Male,Loyal Customer,51,Business Travel,Business,67.0,1,1,1,2,4,4,5,116.0,107.0,Satisfied
Female,Loyal Customer,38,Business Travel,Business,67.0,4,1,1,1,3,4,4,26.0,103.0,Dissatisfied
Male,Loyal Customer,46,Business Travel,Business,67.0,1,1,1,2,4,5,5,0.0,9.0,Satisfied
Female,Disloyal Customer,85,Business Travel,Business,67.0,4,4,4,4,2,4,4,0.0,0.0,Satisfied
Female,Loyal Customer,46,Business Travel,Business,67.0,3,3,3,4,4,4,5,0.0,0.0,Satisfied
Male,Loyal Customer,45,Business Travel,Business,73.0,4,2,3,4,4,4,4,0.0,0.0,Neutral
Male,Loyal Customer,59,Business Travel,Business,73.0,3,5,3,5,3,5,4,13.0,18.0,Satisfied
Male,Loyal Customer,41,Business Travel,Business,73.0,3,3,3,2,4,5,5,0.0,0.0,Satisfied
Female,Disloyal Customer,26,Business Travel,Business,73.0,1,2,1,4,4,3,4,0.0,0.0,Dissatisfied
Male,Loyal Customer,42,Business Travel,Business,73.0,1,1,1,1,4,5,3,50.0,43.0,Satisfied
Male,Loyal Customer,56,Business Travel,Business,73.0,4,4,4,4,5,4,5,0.0,0.0,Satisfied
Male,Loyal Customer,39,Personal Travel,Business,73.0,3,3,3,4,4,4,4,0.0,0.0,Unknown
Male,Loyal Customer,30,Business Travel,Business,337.0,4,1,3,4,2,4,2,10.0,0.0,Dissatisfied
Female,Disloyal Customer,33,Business Travel,Business,73.0,4,4,4,4,4,5,4,0.0,0.0,Dissatisfied
Female,Loyal Customer,24,Business Travel,Business,73.0,2,4,4,3,3,5,3,26.0,45.0,Dissatisfied
Male,Loyal Customer,47,Business Travel,Business,73.0,2,2,2,3,4,5,4,71.0,66.0,Satisfied
Male,Disloyal Customer,39,Business Travel,Business,74.0,1,1,1,5,5,4,5,0.0,0.0,Dissatisfied
Male,Disloyal Customer,47,Business Travel,Business,74.0,2,2,2,3,3,5,3,0.0,0.0,Dissatisfied
Female,Loyal Customer,51,Business Travel,Business,74.0,1,1,1,5,1,1,4,27.0,25.0,Dissatisfied
Female,Disloyal Customer,22,Business Travel,Business,74.0,0,5,1,5,5,5,5,0.0,0.0,Satisfied
