movie_id,movie_title,movie_rank,movie_year,movie_runtime,movie_rating,movie_votes,movie_genres
tt7286456,Joker,1.,2019,122 min,8.4,"1,271,230","Crime, Drama, Thriller           "
tt4154796,Avengers: Endgame,2.,2019,181 min,8.4,"1,121,495","Action, Adventure, Drama           "
tt4154756,Avengers: Infinity War,3.,2018,149 min,8.4,"1,073,351","Action, Adventure, Sci-Fi           "
tt6751668,Parasite,4.,2019,132 min,8.5,"794,446","Drama, Thriller           "
tt1825683,Black Panther,5.,2018,134 min,7.3,"767,161","Action, Adventure, Sci-Fi           "
tt7131622,Once Upon a Time in Hollywood,6.,2019,161 min,7.6,"731,869","Comedy, Drama           "
tt8946378,Knives Out,7.,2019,130 min,7.9,"625,608","Comedy, Crime, Drama           "
tt8579674,1917,8.,2019,119 min,8.2,"585,354","Action, Drama, War           "
tt5463162,Deadpool 2,9.,2018,119 min,7.7,"581,123","Action, Adventure, Comedy           "
tt4154664,Captain Marvel,10.,2019,123 min,6.8,"559,318","Action, Adventure, Sci-Fi           "
tt1727824,Bohemian Rhapsody,11.,2018,134 min,7.9,"537,891","Biography, Drama, Music           "
tt6644200,A Quiet Place,12.,2018,90 min,7.5,"528,093","Drama, Horror, Sci-Fi           "
tt4633694,Spider-Man: Into the Spider-Verse,13.,2018,117 min,8.4,"525,006","Animation, Action, Adventure           "
tt6723592,Tenet,14.,2020,150 min,7.3,"501,156","Action, Sci-Fi, Thriller           "
tt6320628,Spider-Man: Far from Home,15.,2019,129 min,7.4,"490,812","Action, Adventure, Sci-Fi           "
tt6966692,Green Book,16.,2018,130 min,8.2,"489,323","Biography, Comedy, Drama           "
tt1270797,Venom,17.,2018,112 min,6.6,"484,813","Action, Adventure, Sci-Fi           "
tt1477834,Aquaman,18.,2018,143 min,6.8,"474,113","Action, Adventure, Fantasy           "
tt2527338,Star Wars: The Rise Of Skywalker,19.,2019,141 min,6.5,"450,338","Action, Adventure, Fantasy           "
tt1677720,Ready Player One,20.,2018,140 min,7.4,"436,291","Action, Adventure, Sci-Fi           "
tt5095030,Ant-Man and the Wasp,21.,2018,118 min,7.0,"401,942","Action, Adventure, Comedy           "
tt1950186,Ford v Ferrari,22.,2019,152 min,8.1,"392,074","Action, Biography, Drama           "
tt2584384,Jojo Rabbit,23.,2019,108 min,7.9,"388,272","Comedy, Drama, War           "
tt1302006,The Irishman,24.,2019,209 min,7.8,"387,457","Biography, Crime, Drama           "
tt1517451,A Star Is Born,25.,2018,136 min,7.6,"384,175","Drama, Music, Romance           "
tt3778644,Solo: A Star Wars Story,26.,2018,135 min,6.9,"347,388","Action, Adventure, Sci-Fi           "
tt6146586,John Wick: Chapter 3 - Parabellum,27.,2019,130 min,7.4,"343,735","Action, Crime, Thriller           "
tt2737304,Bird Box,28.,2018,124 min,6.6,"342,284","Horror, Mystery, Sci-Fi           "
tt8367814,The Gentlemen,29.,2019,113 min,7.8,"338,325","Action, Comedy, Crime           "
tt0448115,Shazam!,30.,2019,132 min,7.0,"338,082","Action, Adventure, Comedy           "
tt4912910,Mission: Impossible - Fallout,31.,2018,147 min,7.7,"333,158","Action, Adventure, Thriller           "
tt2948372,Soul,32.,2020,100 min,8.0,"328,571","Animation, Adventure, Comedy           "
tt2798920,Annihilation,33.,2018,115 min,6.8,"327,219","Adventure, Drama, Horror           "
tt8772262,Midsommar,34.,2019,148 min,7.1,"321,734","Drama, Horror, Mystery           "
tt4881806,Jurassic World: Fallen Kingdom,35.,2018,128 min,6.1,"317,226","Action, Adventure, Sci-Fi           "
tt7784604,Hereditary,36.,2018,127 min,7.3,"316,216","Drama, Horror, Mystery           "
tt7653254,Marriage Story,37.,2019,137 min,7.9,"309,096","Drama, Romance           "
tt6857112,Us,38.,2019,116 min,6.8,"299,466","Horror, Mystery, Thriller           "
tt3606756,Incredibles 2,39.,2018,118 min,7.6,"297,468","Animation, Action, Adventure           "
