movie_id,movie_rank,movie_votes,movie_title,originalTitle,movie_year,movie_rating,titleType,isAdult,movie_runtime,movie_genres
tt7280898,397,34471,22 July,22-Jul,2018,6.8,movie,0,143,"Crime, Drama, History"
tt6865690,412,33213,The Professor,The Professor,2018,6.7,movie,0,90,"Comedy, Drama"
tt8850222,410,33342,Peninsula,Bando,2020,5.5,movie,0,116,"Action, Horror, Thriller"
tt6521876,499,26139,Jay and Silent Bob Reboot,Jay and Silent Bob Reboot,2019,5.6,movie,0,105,"Action, Adventure, Comedy"
tt6107548,369,38112,Late Night,Late Night,2019,6.5,movie,0,102,"Comedy, Drama"
tt7713068,52,239319,Birds of Prey,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,2020,6,movie,0,109,"Action, Adventure, Comedy"
tt9691136,481,27351,Shadow in the Cloud,Shadow in the Cloud,2020,5,movie,0,83,"Action, Horror, War"
tt9086228,437,31378,Gretel & Hansel,Gretel & Hansel,2020,5.5,movie,0,87,"Fantasy, Horror, Mystery"
tt3256226,393,34668,IO,IO,2019,4.7,movie,0,96,"Adventure, Drama, Sci-Fi"
tt6565702,68,188141,X-Men: Dark Phoenix,Dark Phoenix,2019,5.7,movie,0,113,"Action, Adventure, Sci-Fi"
tt4463894,277,54172,Shaft,Shaft,2019,6.4,movie,0,111,"Action, Comedy, Crime"
tt3104988,77,173373,Crazy Rich Asians,Crazy Rich Asians,2018,6.9,movie,0,120,"Comedy, Drama, Romance"
tt3281548,62,204881,Little Women,Little Women,2019,7.8,movie,0,135,"Drama, Romance"
tt1413492,181,82798,12 Strong,12 Strong,2018,6.5,movie,0,130,"Action, Drama, History"
tt2126357,474,27991,Second Act,Second Act,2018,5.8,movie,0,103,"Comedy, Drama, Romance"
tt7721800,440,31270,Bharat,Bharat,2019,4.7,movie,0,150,"Action, Comedy, Drama"
tt2011311,497,26452,The Outsider,The Outsider,2018,6.2,movie,0,120,"Action, Crime, Drama"
tt4154664,10,559153,Captain Marvel,Captain Marvel,2019,6.8,movie,0,123,"Action, Adventure, Sci-Fi"
tt5057140,375,37754,Hold the Dark,Hold the Dark,2018,5.6,movie,0,125,"Action, Drama, Thriller"
tt2076298,414,32805,Ip Man 4: The Finale,Yip Man 4,2019,7,movie,0,107,"Action, Biography, Drama"
tt6269368,467,28533,The Clovehitch Killer,The Clovehitch Killer,2018,6.5,movie,0,109,"Crime, Drama, Mystery"
tt8637428,235,64906,The Farewell,The Farewell,2019,7.5,movie,0,100,"Comedy, Drama"
tt5113040,241,62860,The Secret Life of Pets 2,The Secret Life of Pets 2,2019,6.4,movie,0,86,"Animation, Adventure, Comedy"
tt5774450,341,41745,Summer of 84,Summer of 84,2018,6.7,movie,0,105,"Drama, Horror, Mystery"
tt7212754,356,39904,Ludo,Ludo,2020,7.6,movie,0,150,"Action, Comedy, Crime"
tt2139881,140,112136,Long Shot,Long Shot,2019,6.8,movie,0,125,"Comedy, Romance"
tt4073790,417,32737,The Darkest Minds,The Darkest Minds,2018,5.7,movie,0,104,"Action, Adventure, Drama"
tt9686708,222,68664,The King of Staten Island,The King of Staten Island,2020,7.1,movie,0,136,"Comedy, Drama"
tt2557478,131,118338,Pacific Rim: Uprising,Pacific Rim: Uprising,2018,5.6,movie,0,111,"Action, Adventure, Fantasy"
tt6543652,258,57596,Cold War,Zimna wojna,2018,7.5,movie,0,89,"Drama, Music, Romance"
tt5867314,450,30440,The Empty Man,The Empty Man,2020,6.2,movie,0,137,"Horror, Mystery, Thriller"
tt9016974,432,31818,Synchronic,Synchronic,2019,6.2,movie,0,102,"Crime, Drama, Horror"
tt8244784,137,115304,The Hunt,The Hunt,2020,6.5,movie,0,90,"Action, Horror, Thriller"
tt9806192,409,33385,I Lost My Body,"J'ai perdu mon corps",2019,7.5,movie,0,81,"Animation, Drama, Fantasy"
tt10539608,178,83756,The Midnight Sky,The Midnight Sky,2020,5.6,movie,0,118,"Adventure, Drama, Sci-Fi"
tt8629748,169,89087,Spenser Confidential,Spenser Confidential,2020,6.2,movie,0,111,"Action, Comedy, Drama"
tt3513498,227,67490,The Lego Movie 2: The Second Part,The Lego Movie 2: The Second Part,2019,6.6,movie,0,107,"Animation, Action, Adventure"
tt7349950,44,266237,It Chapter Two,It Chapter Two,2019,6.5,movie,0,169,"Drama, Fantasy, Horror"
tt8236336,329,44222,The Report,The Report,2019,7.2,movie,0,119,"Biography, Crime, Drama"
tt6902676,243,62406,Guns Akimbo,Guns Akimbo,2019,6.3,movie,0,98,"Action, Comedy, Crime"
tt8359848,220,69436,Climax,Climax,2018,6.9,movie,0,97,"Drama, Horror, Music"
tt3833480,386,35180,The Outpost,The Outpost,2019,6.8,movie,0,123,"Action, Drama, History"
tt8772262,34,321495,Midsommar,Midsommar,2019,7.1,movie,0,148,"Drama, Horror, Mystery"
tt1677720,20,436132,Ready Player One,Ready Player One,2018,7.4,movie,0,140,"Action, Adventure, Sci-Fi"
tt8239946,307,49315,Tumbbad,Tumbbad,2018,8.2,movie,0,104,"Drama, Fantasy, Horror"
tt7146812,101,149824,Onward,Onward,2020,7.4,movie,0,102,"Animation, Adventure, Comedy"
tt7886848,153,95967,Sadak 2,Sadak 2,2020,1.1,movie,0,133,"Action, Drama"
tt8695030,193,79253,"The Dead Don't Die","The Dead Don't Die",2019,5.4,movie,0,104,"Comedy, Fantasy, Horror"
tt2548396,143,106114,The Cloverfield Paradox,The Cloverfield Paradox,2018,5.5,movie,0,102,"Action, Horror, Sci-Fi"
tt4068576,436,31551,The Nightingale,The Nightingale,2018,7.3,movie,0,136,"Adventure, Drama, Thriller"
tt7605074,445,30883,The Wandering Earth,Liu lang di qiu,2019,5.9,movie,0,125,"Action, Adventure, Sci-Fi"
tt8106534,75,177538,6 Underground,6 Underground,2019,6.1,movie,0,128,"Action, Thriller"
tt4881806,35,317157,Jurassic World: Fallen Kingdom,Jurassic World: Fallen Kingdom,2018,6.1,movie,0,128,"Action, Adventure, Sci-Fi"
tt8242084,442,31145,My Spy,My Spy,2020,6.3,movie,0,99,"Action, Comedy"
tt8663516,288,52647,"Child's Play","Child's Play",2019,5.7,movie,0,90,"Drama, Horror, Sci-Fi"
tt7557108,368,38283,Saint Maud,Saint Maud,2019,6.7,movie,0,84,"Drama, Horror, Mystery"
tt8291806,255,58711,Pain and Glory,Dolor y gloria,2019,7.5,movie,0,113,Drama
tt2948372,32,328430,Soul,Soul,2020,8,movie,0,100,"Animation, Adventure, Comedy"
tt1833116,373,37838,The Informer,The Informer,2019,6.6,movie,0,113,"Action, Crime, Drama"
tt4566758,104,148640,Mulan,Mulan,2020,5.7,movie,0,115,"Action, Adventure, Drama"
tt7504726,304,49765,The Call of the Wild,The Call of the Wild,2020,6.7,movie,0,100,"Adventure, Drama, Family"
tt1137450,216,72786,Death Wish,Death Wish,2018,6.3,movie,0,107,"Action, Crime, Drama"
